"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "YAML", "Ignore", "Docker", "TypeScript", "TypeScript React", "SCSS", "CSS", "HTML", "comment", "blank", "total"
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/manifest.json", "JSON", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-background-sync.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-broadcast-update.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-cacheable-response.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-core.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-expiration.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-navigation-preload.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-offline-ga.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-precaching.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-range-requests.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-routing.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/keyhan/Desktop/AsemanWeb/whiteboard/excalidraw-0.9.0/public/workbox/workbox-strategies.prod.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
