Date : 2021-08-24 09:33:53
Directory : /home/keyhan/Desktop/AsemanWeb
Total : 13637 files,  4093544 codes, 589654 comments, 416939 blanks, all 5100137 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/resources/win32/VisualElementsManifest.xml                                                                 | XML                |          8 |          0 |          0 |          8 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/resources/win32/bin/code.cmd                                                                               | Batch              |          6 |          0 |          0 |          6 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/resources/win32/bin/code.sh                                                                                | Shell Script       |         42 |         13 |          8 |         63 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/code-cli.bat                                                                                       | Batch              |         26 |          0 |         12 |         38 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/code-cli.sh                                                                                        | Shell Script       |         30 |          3 |          8 |         41 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/code.bat                                                                                           | Batch              |         26 |          0 |         13 |         39 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/code.sh                                                                                            | Shell Script       |         58 |          8 |         12 |         78 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/generate-definitelytyped.sh                                                                        | Shell Script       |         25 |          1 |          6 |         32 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/npm.bat                                                                                            | Batch              |          2 |          0 |          1 |          3 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/npm.sh                                                                                             | Shell Script       |          1 |          1 |          2 |          4 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/test-documentation.bat                                                                             | Batch              |         10 |          0 |          8 |         18 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/test-documentation.sh                                                                              | Shell Script       |         13 |          2 |          7 |         22 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/test-integration.bat                                                                               | Batch              |         67 |          0 |         23 |         90 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/test-integration.sh                                                                                | Shell Script       |         68 |         13 |         23 |        104 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/test.bat                                                                                           | Batch              |         22 |          0 |         10 |         32 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/scripts/test.sh                                                                                            | Shell Script       |         29 |          5 |          7 |         41 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/bootstrap-amd.js                                                                                       | JavaScript         |         41 |         10 |         11 |         62 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/bootstrap-fork.js                                                                                      | JavaScript         |        143 |         47 |         40 |        230 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/bootstrap-node.js                                                                                      | JavaScript         |        101 |         37 |         29 |        167 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/bootstrap-window.js                                                                                    | JavaScript         |        176 |         69 |         42 |        287 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/bootstrap.js                                                                                           | JavaScript         |        150 |         65 |         58 |        273 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/buildfile.js                                                                                           | JavaScript         |         21 |          4 |          8 |         33 |
| /home/keyhan/Desktop/AsemanWeb/code-server/lib/vscode/src/cli.js                                                                                                 | JavaScript         |          9 |         10 |          8 |         27 |
