Date : 2021-08-24 09:33:53
Directory : /home/keyhan/Desktop/AsemanWeb
Total : 13637 files,  4093544 codes, 589654 comments, 416939 blanks, all 5100137 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/d/d.go                                                                      | Go                 |         52 |          9 |          9 |         70 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/d/dart.go                                                                   | Go                 |         88 |          1 |          3 |         92 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/d/diff.go                                                                   | Go                 |         26 |          1 |          3 |         30 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/d/django.go                                                                 | Go                 |         50 |          1 |          3 |         54 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/d/docker.go                                                                 | Go                 |         28 |          1 |          3 |         32 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/d/dtd.go                                                                    | Go                 |         66 |          1 |          3 |         70 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/e/ebnf.go                                                                   | Go                 |         48 |          1 |          3 |         52 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/e/elixir.go                                                                 | Go                 |        274 |          1 |          3 |        278 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/e/elm.go                                                                    | Go                 |         56 |          1 |          3 |         60 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/e/emacs.go                                                                  | Go                 |        573 |          1 |          9 |        583 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/e/erlang.go                                                                 | Go                 |         63 |          1 |          3 |         67 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/f/factor.go                                                                 | Go                 |        112 |          1 |          3 |        116 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/f/fish.go                                                                   | Go                 |         62 |          1 |          3 |         66 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/f/forth.go                                                                  | Go                 |         37 |          1 |          3 |         41 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/f/fortran.go                                                                | Go                 |         44 |          1 |          3 |         48 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/f/fsharp.go                                                                 | Go                 |         91 |          1 |          3 |         95 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/g/gas.go                                                                    | Go                 |         52 |          1 |          3 |         56 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/g/gdscript.go                                                               | Go                 |         24 |         99 |          2 |        125 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/g/genshi.go                                                                 | Go                 |        106 |          3 |          6 |        115 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/g/gherkin.go                                                                | Go                 |        111 |          1 |          7 |        119 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/g/glsl.go                                                                   | Go                 |         34 |          1 |          3 |         38 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/g/gnuplot.go                                                                | Go                 |        114 |          1 |          3 |        118 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/g/go.go                                                                     | Go                 |        108 |          1 |          7 |        116 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/g/graphql.go                                                                | Go                 |         41 |          2 |          3 |         46 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/g/groovy.go                                                                 | Go                 |         55 |          1 |          3 |         59 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/h/handlebars.go                                                             | Go                 |         53 |          1 |          3 |         57 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/h/haskell.go                                                                | Go                 |         96 |          1 |          3 |        100 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/h/haxe.go                                                                   | Go                 |        635 |          1 |          7 |        643 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/h/hcl.go                                                                    | Go                 |         66 |          1 |          3 |         70 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/h/hexdump.go                                                                | Go                 |         64 |          1 |          3 |         68 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/h/html.go                                                                   | Go                 |         56 |          1 |          3 |         60 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/h/http.go                                                                   | Go                 |        110 |          3 |         16 |        129 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/h/hy.go                                                                     | Go                 |         48 |          1 |          3 |         52 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/hlb.go                                                                      | Go                 |         51 |          1 |          3 |         55 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/i/idris.go                                                                  | Go                 |         77 |          1 |          3 |         81 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/i/igor.go                                                                   | Go                 |         29 |          1 |          3 |         33 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/i/ini.go                                                                    | Go                 |         22 |          1 |          3 |         26 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/i/io.go                                                                     | Go                 |         37 |          1 |          3 |         41 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/internal/api.go                                                             | Go                 |        134 |         14 |         14 |        162 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/j/j.go                                                                      | Go                 |         70 |          1 |          3 |         74 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/j/java.go                                                                   | Go                 |         48 |          1 |          3 |         52 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/j/javascript.go                                                             | Go                 |         69 |          2 |          4 |         75 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/j/json.go                                                                   | Go                 |         52 |          1 |          3 |         56 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/j/jsx.go                                                                    | Go                 |         90 |          3 |          3 |         96 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/j/julia.go                                                                  | Go                 |         92 |          1 |          3 |         96 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/j/jungle.go                                                                 | Go                 |         48 |          0 |          3 |         51 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/k/kotlin.go                                                                 | Go                 |         86 |          5 |          4 |         95 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/l/lighttpd.go                                                               | Go                 |         27 |          1 |          3 |         31 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/l/llvm.go                                                                   | Go                 |         40 |          1 |          3 |         44 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/l/lua.go                                                                    | Go                 |         72 |          1 |          3 |         76 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/lexers.go                                                                   | Go                 |         39 |         12 |         10 |         61 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/make.go                                                                   | Go                 |         51 |          1 |          3 |         55 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/mako.go                                                                   | Go                 |         57 |          1 |          3 |         61 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/markdown.go                                                               | Go                 |         45 |          1 |          3 |         49 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/mason.go                                                                  | Go                 |         40 |          1 |          3 |         44 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/mathematica.go                                                            | Go                 |         29 |          1 |          3 |         33 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/matlab.go                                                                 | Go                 |         48 |          1 |          3 |         52 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/minizinc.go                                                               | Go                 |         38 |          1 |          3 |         42 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/mlir.go                                                                   | Go                 |         40 |          1 |          3 |         44 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/modula2.go                                                                | Go                 |        112 |          1 |          3 |        116 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/monkeyc.go                                                                | Go                 |         60 |          0 |          3 |         63 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/mwscript.go                                                               | Go                 |         50 |          1 |          3 |         54 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/myghty.go                                                                 | Go                 |         37 |          1 |          3 |         41 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/m/mysql.go                                                                  | Go                 |         37 |         16 |          2 |         55 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/n/nasm.go                                                                   | Go                 |         56 |          1 |          3 |         60 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/n/newspeak.go                                                               | Go                 |         52 |          1 |          3 |         56 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/n/nginx.go                                                                  | Go                 |         44 |          1 |          3 |         48 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/n/nim.go                                                                    | Go                 |         90 |          1 |          3 |         94 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/n/nix.go                                                                    | Go                 |        114 |          4 |          5 |        123 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/o/objectivec.go                                                             | Go                 |        162 |          1 |          3 |        166 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/o/ocaml.go                                                                  | Go                 |         63 |          1 |          3 |         67 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/o/octave.go                                                                 | Go                 |         43 |          1 |          3 |         47 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/o/openscad.go                                                               | Go                 |         41 |          0 |          3 |         44 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/o/org.go                                                                    | Go                 |         78 |         22 |          3 |        103 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/pacman.go                                                                 | Go                 |         23 |          1 |          3 |         27 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/perl.go                                                                   | Go                 |         74 |         63 |          2 |        139 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/pig.go                                                                    | Go                 |         54 |          1 |          3 |         58 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/pkgconfig.go                                                              | Go                 |         38 |          1 |          3 |         42 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/plaintext.go                                                              | Go                 |         15 |          0 |          3 |         18 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/plsql.go                                                                  | Go                 |         40 |         17 |          2 |         59 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/pony.go                                                                   | Go                 |         36 |         21 |          3 |         60 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/postgres.go                                                               | Go                 |         60 |         16 |          2 |         78 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/postscript.go                                                             | Go                 |         43 |          1 |          3 |         47 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/povray.go                                                                 | Go                 |         32 |          1 |          3 |         36 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/powershell.go                                                             | Go                 |         63 |          1 |          3 |         67 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/prolog.go                                                                 | Go                 |         47 |          1 |          3 |         51 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/promql.go                                                                 | Go                 |         52 |          1 |          3 |         56 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/protobuf.go                                                               | Go                 |         50 |          1 |          3 |         54 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/puppet.go                                                                 | Go                 |         53 |          1 |          3 |         57 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/python.go                                                                 | Go                 |         25 |        111 |          2 |        138 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/p/python3.go                                                                | Go                 |         26 |        109 |          3 |        138 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/q/qbasic.go                                                                 | Go                 |         64 |          1 |          3 |         68 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/qml.go                                                                      | Go                 |         51 |          1 |          3 |         55 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/r/r.go                                                                      | Go                 |         63 |          1 |          3 |         67 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/r/racket.go                                                                 | Go                 |         99 |          1 |          3 |        103 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/r/ragel.go                                                                  | Go                 |         73 |          1 |          3 |         77 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/r/reasonml.go                                                               | Go                 |         44 |         22 |          2 |         68 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/r/regedit.go                                                                | Go                 |         29 |          1 |          3 |         33 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/r/rexx.go                                                                   | Go                 |         56 |          1 |          3 |         60 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/r/rst.go                                                                    | Go                 |         81 |          1 |          5 |         87 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/r/ruby.go                                                                   | Go                 |         53 |        196 |          2 |        251 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/r/rust.go                                                                   | Go                 |        101 |         32 |          3 |        136 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/sas.go                                                                    | Go                 |         91 |          1 |          3 |         95 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/sass.go                                                                   | Go                 |        136 |          6 |          3 |        145 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/scala.go                                                                  | Go                 |        106 |          2 |          5 |        113 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/scheme.go                                                                 | Go                 |         48 |          2 |          4 |         54 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/scilab.go                                                                 | Go                 |         41 |          1 |          3 |         45 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/scss.go                                                                   | Go                 |        121 |          1 |          3 |        125 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/smalltalk.go                                                              | Go                 |         96 |          1 |          3 |        100 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/smarty.go                                                                 | Go                 |         37 |          1 |          3 |         41 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/sml.go                                                                    | Go                 |        195 |          3 |          3 |        201 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/snobol.go                                                                 | Go                 |         45 |          1 |          3 |         49 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/solidity.go                                                               | Go                 |        107 |          1 |          3 |        111 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/sparql.go                                                                 | Go                 |         66 |          1 |          3 |         70 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/sql.go                                                                    | Go                 |         32 |         16 |          2 |         50 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/squid.go                                                                  | Go                 |         35 |          1 |          3 |         39 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/stylus.go                                                                 | Go                 |         57 |          3 |          3 |         63 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/swift.go                                                                  | Go                 |         84 |          1 |          3 |         88 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/systemd.go                                                                | Go                 |         26 |          0 |          3 |         29 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/s/systemverilog.go                                                          | Go                 |         70 |          1 |          3 |         74 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/tablegen.go                                                               | Go                 |         39 |          1 |          3 |         43 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/tasm.go                                                                   | Go                 |         58 |          1 |          3 |         62 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/tcl.go                                                                    | Go                 |        113 |          1 |          3 |        117 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/tcsh.go                                                                   | Go                 |         56 |          1 |          3 |         60 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/termcap.go                                                                | Go                 |         39 |          1 |          3 |         43 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/terminfo.go                                                               | Go                 |         39 |          1 |          3 |         43 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/terraform.go                                                              | Go                 |         57 |          1 |          3 |         61 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/tex.go                                                                    | Go                 |         53 |          1 |          3 |         57 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/thrift.go                                                                 | Go                 |         70 |          1 |          3 |         74 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/toml.go                                                                   | Go                 |         27 |          0 |          3 |         30 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/tradingview.go                                                            | Go                 |         37 |          1 |          3 |         41 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/transactsql.go                                                            | Go                 |         43 |         16 |          2 |         61 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/turing.go                                                                 | Go                 |         40 |          1 |          3 |         44 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/turtle.go                                                                 | Go                 |         64 |          1 |          3 |         68 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/twig.go                                                                   | Go                 |         51 |          1 |          3 |         55 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/typescript.go                                                             | Go                 |         94 |          1 |          3 |         98 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/t/typoscript.go                                                             | Go                 |        119 |          3 |          5 |        127 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/v/vb.go                                                                     | Go                 |         69 |          1 |          4 |         74 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/v/verilog.go                                                                | Go                 |         65 |          1 |          3 |         69 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/v/vhdl.go                                                                   | Go                 |         61 |          3 |          3 |         67 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/v/vim.go                                                                    | Go                 |         34 |          1 |          3 |         38 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/v/vue.go                                                                    | Go                 |        102 |          3 |          3 |        108 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/w/wdte.go                                                                   | Go                 |         26 |          1 |          3 |         30 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/x/xml.go                                                                    | Go                 |         42 |          1 |          3 |         46 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/x/xorg.go                                                                   | Go                 |         22 |          1 |          3 |         26 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/y/yaml.go                                                                   | Go                 |         52 |          0 |          3 |         55 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/y/yang.go                                                                   | Go                 |         45 |         12 |         11 |         68 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/lexers/z/zig.go                                                                    | Go                 |         51 |          1 |          3 |         55 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/mutators.go                                                                        | Go                 |        100 |         13 |         19 |        132 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/regexp.go                                                                          | Go                 |        348 |         93 |         40 |        481 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/remap.go                                                                           | Go                 |         63 |         11 |          7 |         81 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/style.go                                                                           | Go                 |        276 |         34 |         33 |        343 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/abap.go                                                                     | Go                 |         15 |          1 |          3 |         19 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/algol.go                                                                    | Go                 |         22 |          1 |          3 |         26 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/algol_nu.go                                                                 | Go                 |         22 |          1 |          3 |         26 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/api.go                                                                      | Go                 |         25 |          5 |          8 |         38 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/arduino.go                                                                  | Go                 |         22 |          1 |          3 |         26 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/autumn.go                                                                   | Go                 |         40 |          1 |          3 |         44 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/base16-snazzy.go                                                            | Go                 |         78 |          1 |          3 |         82 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/borland.go                                                                  | Go                 |         30 |          1 |          3 |         34 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/bw.go                                                                       | Go                 |         27 |          1 |          3 |         31 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/colorful.go                                                                 | Go                 |         56 |          1 |          3 |         60 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/dracula.go                                                                  | Go                 |         78 |          1 |          3 |         82 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/emacs.go                                                                    | Go                 |         48 |          1 |          3 |         52 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/friendly.go                                                                 | Go                 |         48 |          1 |          3 |         52 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/fruity.go                                                                   | Go                 |         23 |          1 |          3 |         27 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/github.go                                                                   | Go                 |         48 |          1 |          3 |         52 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/igor.go                                                                     | Go                 |         13 |          1 |          3 |         17 |
| /home/keyhan/Desktop/AsemanWeb/git-server/vendor/github.com/alecthomas/chroma/styles/lovelace.go                                                                 | Go                 |         57 |          1 |          3 |         61 |
